date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2015-03-31,YDUQS PARTICIPACOES S.A.,BRL,1190393153.3329177,550987715.9069653,1190393153.3329177,210728627.54879344,502302799.7755192,756062542.8696141,0.0,40712415.0402195,-20031489.68011474,225203903.4732182,1091347000.0
2015-06-30,YDUQS PARTICIPACOES S.A.,BRL,1246495696.1862085,576908991.2634192,1246495696.1862085,188549921.0161514,502777007.6404784,829806892.5497276,0.0,127172700.60285631,24396015.345433444,732131596.7632741,1204651000.0
2015-09-30,YDUQS PARTICIPACOES S.A.,BRL,1088129248.2755148,541016816.8772972,1088129248.2755148,171199587.13055736,526362217.41100645,689015658.8288605,0.0,145164644.27773023,-9663662.454055686,741614974.069785,1468988000.0
2015-12-31,COGNA EDUCAÇÃO S.A.,BRL,12785349623.482405,1261422314.4306133,12785349623.482405,901740433.3794376,614117104.6565238,9574064853.234978,0.0,0.0,0.0,0.0,1404270000.0
2016-03-31,COGNA EDUCAÇÃO S.A.,BRL,4766740297.332995,622469437.6528116,4766740297.332995,292503723.6882781,211286569.4292218,3675072928.0836353,-19719528.98856195,168438580.22089198,-10487873.42270185,356389005.98600453,1174117000.0
2016-06-30,COGNA EDUCAÇÃO S.A.,BRL,5384663467.5308485,739310420.0423782,5384663467.5308485,349349370.55964106,232280942.2909136,4182805683.659479,-83961423.40770285,510439361.83472514,200677115.79209772,1262132930.3253148,1251463000.0
2016-09-30,COGNA EDUCAÇÃO S.A.,BRL,5208656026.620656,651738353.4631501,5208656026.620656,346016144.9346808,216079923.58885878,4053844897.707666,0.0,267721838.79714075,355871641.6070989,1254757209.7609072,992252000.0
2015-12-31,SER EDUCACIONAL S.A.,BRL,1420461041.954818,382249884.7395113,1420461041.954818,208057476.56370065,470850622.40663904,581860304.2876902,0.0,0.0,0.0,0.0,680082000.0
2016-03-31,SER EDUCACIONAL S.A.,BRL,542130511.7612343,159360930.78155297,542130511.7612343,86997161.5659163,170248433.24059242,236951915.24042377,0.0,24144394.795267403,-5980102.858106399,80129556.24877048,257492000.0
2016-06-30,SER EDUCACIONAL S.A.,BRL,614627009.8466908,211293780.38140348,614627009.8466908,100953820.26673314,181073164.6516266,281645893.05745983,0.0,66505982.799451575,17708463.168390878,269327246.66583574,354103000.0
2016-09-30,SER EDUCACIONAL S.A.,BRL,623368868.6221346,221941705.69386247,623368868.6221346,104870594.03500123,176625893.51737738,293467771.7525265,0.0,76076534.38501357,63214197.68301701,345463088.4890313,379966000.0
2015-12-31,YDUQS PARTICIPACOES S.A.,BRL,3310103734.439834,1241241739.6649761,3310103734.439834,584318170.1757082,1613105885.9689565,2004641667.9473388,0.0,0.0,0.0,0.0,2564761000.0
2016-03-31,YDUQS PARTICIPACOES S.A.,BRL,1201173594.1320293,440891998.9882809,1201173594.1320293,150381361.886294,457081190.4561167,789234184.8635584,0.0,36107691.87533373,84048000.44965293,222833375.48829496,1033724000.0
2016-06-30,YDUQS PARTICIPACOES S.A.,BRL,1300112177.489717,498361273.8377166,1300112177.489717,168034712.70098466,496058207.6529976,833917487.2242303,0.0,27465723.544808675,151305932.9427895,766509410.4449707,1060084000.0
2016-09-30,YDUQS PARTICIPACOES S.A.,BRL,1318593480.4042397,522966477.6928765,1318593480.4042397,216074377.61893025,499858269.6573823,868809157.0125709,0.0,116930305.64456496,155394688.19324625,970759489.7707666,996049000.0
2016-12-31,COGNA EDUCAÇÃO S.A.,BRL,16204755255.485651,2435195335.2769675,16204755255.485651,1146619610.250115,536226177.6891207,12750680374.4054,0.0,0.0,0.0,0.0,4198824000.0
2017-03-31,COGNA EDUCAÇÃO S.A.,BRL,5662631163.583559,940071974.240798,5662631163.583559,381476103.2893491,168778647.64189658,4532298440.558116,0.0,155840962.18195593,46616579.32950313,430936927.8363533,1769520000.0
2017-06-30,COGNA EDUCAÇÃO S.A.,BRL,5485459245.3742895,903816966.9851252,5485459245.3742895,367956222.0341033,150775486.75777,4443403676.381667,-94717317.69258678,480099467.8921273,215486153.10194704,1331450598.621357,1772413000.0
2017-09-30,COGNA EDUCAÇÃO S.A.,BRL,5831672349.561153,1130029361.621519,5831672349.561153,395863799.962114,142284523.5840121,4749010860.642797,-164552945.6336427,613276820.1048177,398461514.17566454,1746418197.8910146,2325396000.0
2016-12-31,SER EDUCACIONAL S.A.,BRL,1858429338.652754,646489182.1390209,1858429338.652754,336088384.2258708,501843793.1563602,875003836.1209145,0.0,0.0,0.0,0.0,1011441000.0
2017-03-31,SER EDUCACIONAL S.A.,BRL,649004356.3356272,224923921.9647705,649004356.3356272,117113454.13220531,165424900.56190416,325344087.37925375,0.0,25325146.78957005,4488288.402045583,97487215.1019635,341522000.0
