date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital,country,debt_to_assets,debt_to_equity,roa,debt_change,log_total_assets
2015-09-30,STRA,USD,230273000.0,119726000.0,103096000.0,57535000.0,2678000.0,127177000.0,0.0,3723000.0,10365000.0,99142000.0,62191000.0,USA,0.011629674343062365,0.021057266644125903,0.016167766086340997,-112947000.0,19.25477611953324
2015-12-31,STRA,USD,248434000.0,138798000.0,105578000.0,57591000.0,3125000.0,142856000.0,11416000.0,13041000.0,23077000.0,113660000.0,81207000.0,USA,0.012578793562877867,0.021875175001400012,0.052492814993116886,447000.0,19.330687774663375
2016-03-31,STRA,USD,277696000.0,144494000.0,119579000.0,62488000.0,3035000.0,158117000.0,0.0,12420000.0,14680000.0,111166000.0,82006000.0,USA,0.01092921756165015,0.019194647001903653,0.04472516708919106,-90000.0,19.44203754814016
2016-06-30,STRA,USD,277551000.0,145781000.0,109613000.0,59540000.0,2896000.0,167938000.0,0.0,7786000.0,7745000.0,108487000.0,86241000.0,USA,0.010434118414273413,0.01724445926472865,0.028052502062683976,-139000.0,19.441515258048376
2016-09-30,STRA,USD,286504000.0,152702000.0,113285000.0,61654000.0,2825000.0,173219000.0,0.0,2878000.0,7682000.0,102156000.0,91048000.0,USA,0.009860246279284059,0.01630883448120587,0.010045234970541423,-71000.0,19.47326305562719
2016-12-31,STRA,USD,298696000.0,160543000.0,110322000.0,59839000.0,2684000.0,188374000.0,11416000.0,11718000.0,14403000.0,119279000.0,100704000.0,USA,0.008985724616332324,0.014248250820176882,0.03923052200230334,-141000.0,19.514936891734102
2017-03-31,STRA,USD,313974000.0,177400000.0,115448000.0,66231000.0,2667000.0,198526000.0,2853000.0,10578000.0,25059000.0,114912000.0,111169000.0,USA,0.008494333925739074,0.0134340086437041,0.03369068776395498,-17000.0,19.564820737896436
2017-06-30,STRA,USD,318482000.0,180051000.0,109281000.0,61303000.0,2621000.0,209201000.0,2854000.0,10302000.0,7705000.0,112720000.0,118748000.0,USA,0.008229664470833516,0.012528620800091778,0.03234719701584391,-46000.0,19.579076516465808
2017-09-30,STRA,USD,328575000.0,186760000.0,113086000.0,72298000.0,2902000.0,215489000.0,2854000.0,6227000.0,11608000.0,108512000.0,114462000.0,USA,0.008832077912196607,0.013467044721540311,0.018951533135509395,281000.0,19.610275680332347
2017-12-31,STRA,USD,321278000.0,190348000.0,112081000.0,69066000.0,2832000.0,209197000.0,2855000.0,-6495000.0,11783000.0,118707000.0,121282000.0,USA,0.008814795908839074,0.013537479026945893,-0.020216136803640462,-70000.0,19.587817349908605
2018-03-31,STRA,USD,331810000.0,201422000.0,113518000.0,72278000.0,2857000.0,218292000.0,2889000.0,9467000.0,17049000.0,116469000.0,129144000.0,USA,0.008610349296284018,0.013087973906510545,0.02853138844519454,25000.0,19.62007307390419
2018-06-30,STRA,USD,336765000.0,214172000.0,112925000.0,69204000.0,2618000.0,223840000.0,2889000.0,5188000.0,12977000.0,114668000.0,144968000.0,USA,0.0077739670096358,0.011695854181558257,0.015405401392662539,-239000.0,19.634895915692564
2018-09-30,STRA,USD,1645696000.0,391410000.0,237366000.0,116117000.0,2481000.0,1408330000.0,11024000.0,-52781000.0,-44673000.0,160945000.0,275293000.0,USA,0.0015075688340981566,0.0017616609743455014,-0.032072144551606126,-137000.0,21.221429231986004
